loan_id,snapshot_month,actual_synthetic_target,predicted_probability,risk_tier,data_split
L000552,2024-07-01,0,0.02973268,Low,train
L000553,2024-07-01,0,0.03134655,Low,train
L000554,2024-07-01,0,0.02818086,Low,train
L000555,2024-07-01,0,0.02378712,Low,train
L000556,2024-07-01,0,0.03368008,Low,train
L000557,2024-07-01,0,0.03265334,Low,train
L000558,2024-07-01,0,0.03140997,Low,train
L000559,2024-07-01,0,0.03169866,Low,train
L000560,2024-07-01,0,0.03057493,Low,train
L000561,2024-07-01,0,0.05115024,High,train
L000562,2024-07-01,0,0.04134854,Monitor,train
L000563,2024-07-01,0,0.16116014,Critical,train
L000564,2024-07-01,0,0.0318341,Low,train
L000565,2024-07-01,0,0.02438777,Low,train
L000566,2024-07-01,0,0.02537846,Low,train
L000567,2024-07-01,0,0.0322087,Low,train
L000568,2024-07-01,0,0.02317176,Low,train
L000569,2024-07-01,0,0.02657528,Low,train
L000570,2024-07-01,0,0.02724826,Low,train
L000571,2024-07-01,0,0.03423188,Low,train
L000572,2024-07-01,0,0.03754886,Monitor,train
L000573,2024-07-01,0,0.05692311,High,train
L000574,2024-07-01,1,0.0455616,Monitor,train
L000575,2024-07-01,0,0.2078856,Critical,train
L000576,2024-07-01,1,0.04343921,Monitor,train
L000577,2024-07-01,0,0.0307534,Low,train
L000578,2024-07-01,0,0.02628079,Low,train
L000579,2024-07-01,0,0.03206104,Low,train
L000580,2024-07-01,0,0.03156701,Low,train
L000581,2024-07-01,0,0.03412759,Low,train
L000582,2024-07-01,0,0.0410114,Monitor,train
L000583,2024-07-01,0,0.05010739,High,train
L000584,2024-07-01,0,0.0290644,Low,train
L000585,2024-07-01,0,0.05586748,High,train
L000586,2024-07-01,0,0.03729287,Monitor,train
L000587,2024-07-01,0,0.03596113,Monitor,train
L000588,2024-07-01,0,0.0269969,Low,train
L000589,2024-07-01,0,0.0562582,High,train
L000590,2024-07-01,1,0.46572204,Critical,train
L000591,2024-07-01,0,0.02944182,Low,train
L000592,2024-07-01,0,0.03121933,Low,train
L000593,2024-07-01,0,0.03071557,Low,train
L000594,2024-07-01,0,0.03466241,Monitor,train
L000595,2024-07-01,0,0.02539309,Low,train
L000596,2024-07-01,0,0.02882594,Low,train
L000597,2024-07-01,0,0.02865015,Low,train
L000598,2024-07-01,0,0.02301266,Low,train
L000599,2024-07-01,0,0.03418044,Low,train
L000600,2024-07-01,0,0.03518752,Monitor,train
L000601,2024-07-01,0,0.03405721,Low,train
L000602,2024-07-01,0,0.03865207,Monitor,train
L000603,2024-07-01,0,0.03256612,Low,train
L000604,2024-07-01,0,0.04850058,High,train
L000605,2024-07-01,0,0.03109704,Low,train
L000606,2024-07-01,0,0.03850108,Monitor,train
L000607,2024-07-01,0,0.04743655,High,train
L000608,2024-07-01,0,0.02227483,Low,train
L000609,2024-07-01,0,0.20781835,Critical,train
L000610,2024-07-01,0,0.03771661,Monitor,train
L000611,2024-07-01,0,0.03184968,Low,train
L000612,2024-07-01,0,0.04163594,Monitor,train
L000613,2024-07-01,0,0.04540484,Monitor,train
L000614,2024-07-01,0,0.03279582,Low,train
L000615,2024-07-01,0,0.02876402,Low,train
L000616,2024-07-01,0,0.03625746,Monitor,train
L000617,2024-07-01,0,0.03028272,Low,train
L000618,2024-07-01,0,0.03796214,Monitor,train
L000619,2024-07-01,0,0.11725381,Critical,train
L000620,2024-07-01,0,0.04536574,Monitor,train
L000621,2024-07-01,0,0.02576081,Low,train
L000622,2024-07-01,0,0.04088352,Monitor,train
L000623,2024-07-01,0,0.03324972,Low,train
L000624,2024-07-01,0,0.03279477,Low,train
L000625,2024-07-01,0,0.03844868,Monitor,train
L000626,2024-07-01,0,0.03696469,Monitor,train
L000627,2024-07-01,1,0.43586128,Critical,train
L000628,2024-07-01,0,0.02582345,Low,train
L000629,2024-07-01,0,0.02780919,Low,train
L000630,2024-07-01,0,0.07490038,High,train
L000631,2024-07-01,0,0.03998619,Monitor,train
L000632,2024-07-01,1,0.49960814,Critical,train
L000633,2024-07-01,0,0.03158903,Low,train
L000634,2024-07-01,0,0.03748021,Monitor,train
L000635,2024-07-01,0,0.03124707,Low,train
L000636,2024-07-01,0,0.03919723,Monitor,train
L000637,2024-07-01,0,0.0410776,Monitor,train
L000638,2024-07-01,0,0.03687125,Monitor,train
L000639,2024-07-01,0,0.03956631,Monitor,train
L000640,2024-07-01,0,0.02638581,Low,train
L000641,2024-07-01,0,0.06636858,High,train
L000642,2024-07-01,0,0.02590562,Low,train
L000643,2024-07-01,0,0.03029193,Low,train
L000644,2024-07-01,0,0.0340248,Low,train
L000645,2024-07-01,0,0.02462571,Low,train
L000646,2024-07-01,0,0.04407645,Monitor,train
L000647,2024-07-01,0,0.0345054,Low,train
L000648,2024-07-01,0,0.03084037,Low,train
L000649,2024-07-01,0,0.03202663,Low,train
L000650,2024-07-01,0,0.02841696,Low,train
L000651,2024-07-01,0,0.0712948,High,train
L000652,2024-07-01,0,0.04969118,High,train
L000653,2024-07-01,0,0.03360808,Low,train
L000654,2024-07-01,0,0.04816978,High,train
L000655,2024-07-01,0,0.02261943,Low,train
L000656,2024-07-01,0,0.0303944,Low,train
L000657,2024-07-01,0,0.03946492,Monitor,train
L000658,2024-07-01,0,0.04082592,Monitor,train
L000659,2024-07-01,0,0.04278409,Monitor,train
L000660,2024-07-01,0,0.02668304,Low,train
L000661,2024-07-01,0,0.04090497,Monitor,train
L000662,2024-07-01,0,0.02255292,Low,train
L000663,2024-07-01,0,0.02702954,Low,train
L000664,2024-07-01,0,0.02747558,Low,train
L000665,2024-07-01,0,0.03156135,Low,train
L000666,2024-07-01,0,0.06449918,High,train
L000667,2024-07-01,0,0.03967657,Monitor,train
L000668,2024-07-01,0,0.03200875,Low,train
L000669,2024-07-01,0,0.02890653,Low,train
L000670,2024-07-01,0,0.02591231,Low,train
L000671,2024-07-01,0,0.0269375,Low,train
L000672,2024-07-01,0,0.04756518,High,train
L000673,2024-07-01,0,0.03072262,Low,train
L000674,2024-07-01,0,0.06913109,High,train
L000675,2024-07-01,0,0.05196968,High,train
L000676,2024-07-01,0,0.0464333,High,train
L000677,2024-07-01,0,0.03849234,Monitor,train
L000678,2024-07-01,0,0.0280394,Low,train
L000679,2024-07-01,0,0.03189419,Low,train
L000680,2024-07-01,0,0.04321472,Monitor,train
L000681,2024-07-01,0,0.02821957,Low,train
L000682,2024-07-01,0,0.04973241,High,train
L000683,2024-07-01,0,0.02895077,Low,train
L000684,2024-07-01,0,0.02239618,Low,train
L000685,2024-07-01,0,0.03572773,Monitor,train
L000686,2024-07-01,0,0.42235433,Critical,train
L000687,2024-07-01,0,0.03299573,Low,train
L000688,2024-07-01,0,0.04197441,Monitor,train
L000689,2024-07-01,0,0.02999497,Low,train
L000690,2024-07-01,0,0.02790555,Low,train
L000691,2024-07-01,0,0.03945556,Monitor,train
L000692,2024-07-01,0,0.03072937,Low,train
L000693,2024-07-01,0,0.03796676,Monitor,train
L000694,2024-07-01,0,0.04561621,Monitor,train
L000695,2024-07-01,0,0.03923775,Monitor,train
L000696,2024-07-01,0,0.02960228,Low,train
L000697,2024-07-01,0,0.02108912,Low,train
L000698,2024-07-01,0,0.03147566,Low,train
L000699,2024-07-01,0,0.03990488,Monitor,train
L000700,2024-07-01,0,0.02558118,Low,train
L000701,2024-07-01,0,0.03706486,Monitor,train
L000702,2024-07-01,0,0.02460708,Low,train
L000703,2024-07-01,0,0.20414989,Critical,train
L000704,2024-07-01,0,0.03936996,Monitor,train
L000705,2024-07-01,0,0.12574308,Critical,train
L000706,2024-07-01,0,0.03344913,Low,train
L000707,2024-07-01,0,0.03813221,Monitor,train
L000708,2024-07-01,0,0.01966649,Low,train
L000709,2024-07-01,0,0.05026324,High,train
L000710,2024-07-01,0,0.03351714,Low,train
L000711,2024-07-01,0,0.03495998,Monitor,train
L000712,2024-07-01,0,0.05396134,High,train
L000713,2024-07-01,0,0.02718535,Low,train
L000714,2024-07-01,0,0.02766906,Low,train
L000715,2024-07-01,0,0.04364141,Monitor,train
L000716,2024-07-01,0,0.05168105,High,train
L000717,2024-07-01,0,0.03060242,Low,train
L000718,2024-07-01,0,0.02358706,Low,train
L000719,2024-07-01,0,0.0534026,High,train
L000720,2024-07-01,0,0.03836963,Monitor,train
L000721,2024-07-01,0,0.02747846,Low,train
L000722,2024-07-01,0,0.04433745,Monitor,train
L000723,2024-07-01,0,0.03701052,Monitor,train
L000724,2024-07-01,0,0.03147941,Low,train
L000725,2024-07-01,0,0.05120532,High,train
L000726,2024-07-01,0,0.12013743,Critical,train
L000727,2024-07-01,0,0.04048357,Monitor,train
L000728,2024-07-01,0,0.03423769,Low,train
L000729,2024-07-01,0,0.03130975,Low,train
L000730,2024-07-01,0,0.03227451,Low,train
L000731,2024-07-01,0,0.04660107,High,train
L000732,2024-07-01,0,0.03178884,Low,train
L000733,2024-07-01,0,0.03228327,Low,train
L000734,2024-07-01,0,0.02961231,Low,train
L000735,2024-07-01,0,0.054689,High,train
L000736,2024-07-01,0,0.0299946,Low,train
L000737,2024-07-01,0,0.02766547,Low,train
L000738,2024-07-01,0,0.03690434,Monitor,train
L000739,2024-07-01,0,0.02587163,Low,train
L000740,2024-07-01,0,0.03636212,Monitor,train
L000741,2024-07-01,0,0.03206702,Low,train
L000742,2024-07-01,0,0.04729938,High,train
L000743,2024-07-01,0,0.03514439,Monitor,train
L000744,2024-07-01,0,0.03811547,Monitor,train
L000745,2024-07-01,0,0.03425148,Low,train
L000746,2024-07-01,0,0.05448314,High,train
L000747,2024-07-01,0,0.03331057,Low,train
L000748,2024-07-01,0,0.04711077,High,train
L000749,2024-07-01,0,0.02839838,Low,train
L000750,2024-07-01,0,0.0430831,Monitor,train
L000751,2024-07-01,0,0.02738775,Low,train
L000752,2024-07-01,0,0.05715155,High,train
L000753,2024-07-01,0,0.03573958,Monitor,train
L000754,2024-07-01,0,0.02743007,Low,train
L000755,2024-07-01,0,0.02624388,Low,train
L000756,2024-07-01,0,0.02990771,Low,train
L000757,2024-07-01,0,0.05988772,High,train
L000758,2024-07-01,0,0.03226373,Low,train
L000759,2024-07-01,0,0.04054586,Monitor,train
L000760,2024-07-01,0,0.0511055,High,train
L000761,2024-07-01,0,0.0217779,Low,train
L000762,2024-07-01,1,0.02918068,Low,train
L000763,2024-07-01,1,0.03923008,Monitor,train
L000764,2024-07-01,0,0.0340528,Low,train
L000765,2024-07-01,0,0.03475484,Monitor,train
L000766,2024-07-01,0,0.03598297,Monitor,train
L000767,2024-07-01,0,0.04047764,Monitor,train
L000768,2024-07-01,0,0.03852932,Monitor,train
L000769,2024-07-01,0,0.03079532,Low,train
L000770,2024-07-01,0,0.04047781,Monitor,train
L000771,2024-07-01,0,0.08816745,High,train
L000772,2024-07-01,0,0.0311304,Low,train
L000773,2024-07-01,0,0.02810757,Low,train
L000774,2024-07-01,0,0.05604769,High,train
L000775,2024-07-01,0,0.02873313,Low,train
L000776,2024-07-01,0,0.028349,Low,train
L000777,2024-07-01,0,0.037197,Monitor,train
L000778,2024-07-01,0,0.03398779,Low,train
L000779,2024-07-01,0,0.03781357,Monitor,train
L000780,2024-07-01,0,0.02627492,Low,train
L000781,2024-07-01,0,0.02256456,Low,train
L000782,2024-07-01,0,0.05325595,High,train
L000783,2024-07-01,1,0.02856542,Low,train
L000784,2024-07-01,0,0.03428869,Low,train
L000785,2024-07-01,0,0.05029781,High,train
L000786,2024-07-01,0,0.0351863,Monitor,train
L000787,2024-07-01,0,0.03111108,Low,train
L000788,2024-07-01,0,0.03078313,Low,train
L000789,2024-07-01,0,0.02728389,Low,train
L000790,2024-07-01,0,0.04311617,Monitor,train
L000791,2024-07-01,0,0.04101224,Monitor,train
L000792,2024-07-01,0,0.03031466,Low,train
L000793,2024-07-01,0,0.02917818,Low,train
L000794,2024-07-01,0,0.12940682,Critical,train
L000795,2024-07-01,1,0.03032154,Low,train
L000796,2024-07-01,0,0.03347365,Low,train
L000797,2024-07-01,0,0.0268383,Low,train
L000798,2024-07-01,0,0.02221772,Low,train
L000799,2024-07-01,0,0.02731603,Low,train
L000800,2024-07-01,0,0.07444814,High,train
L000801,2024-07-01,0,0.0385395,Monitor,train
L000802,2024-07-01,0,0.04124805,Monitor,train
L000803,2024-07-01,0,0.04144756,Monitor,train
L000804,2024-07-01,1,0.11902935,Critical,train
L000805,2024-07-01,0,0.03095645,Low,train
L000806,2024-07-01,0,0.03998493,Monitor,train
L000807,2024-07-01,0,0.02577726,Low,train
L000808,2024-07-01,0,0.03361644,Low,train
L000809,2024-07-01,1,0.05080354,High,train
L000810,2024-07-01,0,0.02625883,Low,train
L000811,2024-07-01,0,0.03903371,Monitor,train
L000812,2024-07-01,0,0.03144132,Low,train
L000813,2024-07-01,0,0.04334316,Monitor,train
L000814,2024-07-01,0,0.04086538,Monitor,train
L000815,2024-07-01,0,0.03624688,Monitor,train
L000816,2024-07-01,0,0.03597095,Monitor,train
L000817,2024-07-01,0,0.04404741,Monitor,train
L000818,2024-07-01,0,0.0365224,Monitor,train
L000819,2024-07-01,0,0.03902683,Monitor,train
L000820,2024-07-01,0,0.05782161,High,train
L000821,2024-07-01,0,0.02519972,Low,train
L000822,2024-07-01,0,0.02947313,Low,train
L000823,2024-07-01,0,0.03846286,Monitor,train
L000824,2024-07-01,0,0.03282806,Low,train
L000825,2024-07-01,0,0.02955477,Low,train
L000826,2024-07-01,0,0.15984288,Critical,train
L000827,2024-07-01,0,0.04824933,High,train
L000828,2024-07-01,0,0.05107257,High,train
L000829,2024-07-01,0,0.03871659,Monitor,train
L000830,2024-07-01,0,0.05265546,High,train
L000831,2024-07-01,0,0.03522482,Monitor,train
L000832,2024-07-01,0,0.02259182,Low,train
L000833,2024-07-01,0,0.05482539,High,train
L000834,2024-07-01,0,0.02719182,Low,train
L000835,2024-07-01,0,0.03078475,Low,train
L000836,2024-07-01,0,0.03521628,Monitor,train
L000837,2024-07-01,0,0.02794816,Low,train
L000838,2024-07-01,0,0.03395091,Low,train
L000839,2024-07-01,0,0.03871126,Monitor,train
L000840,2024-07-01,0,0.02728958,Low,train
L000841,2024-07-01,0,0.03135302,Low,train
L000842,2024-07-01,0,0.03057578,Low,train
L000843,2024-07-01,0,0.0378719,Monitor,train
L000844,2024-07-01,0,0.03383732,Low,train
L000845,2024-07-01,0,0.02678487,Low,train
L000846,2024-07-01,0,0.02826119,Low,train
L000847,2024-07-01,0,0.0249918,Low,train
L000848,2024-07-01,0,0.03792904,Monitor,train
L000849,2024-07-01,0,0.03169343,Low,train
L000850,2024-07-01,0,0.04025892,Monitor,train
L000851,2024-07-01,0,0.02407134,Low,train
L000852,2024-07-01,0,0.07498829,High,train
L000853,2024-07-01,0,0.02257015,Low,train
L000854,2024-07-01,0,0.04066309,Monitor,train
L000855,2024-07-01,0,0.02572592,Low,train
L000856,2024-07-01,0,0.0287821,Low,train
L000857,2024-07-01,0,0.03128877,Low,train
L000858,2024-07-01,0,0.04297047,Monitor,train
L000859,2024-07-01,0,0.04362002,Monitor,train
L000860,2024-07-01,0,0.028859,Low,train
L000861,2024-07-01,0,0.026334,Low,train
L000862,2024-07-01,1,0.03144174,Low,train
L000863,2024-07-01,0,0.13034183,Critical,train
L000864,2024-07-01,0,0.0354784,Monitor,train
L000865,2024-07-01,0,0.04093144,Monitor,train
L000866,2024-07-01,0,0.04101097,Monitor,train
L000867,2024-07-01,0,0.04150118,Monitor,train
L000868,2024-07-01,0,0.03558559,Monitor,train
L000869,2024-07-01,1,0.02447965,Low,train
L000870,2024-07-01,0,0.02993846,Low,train
L000871,2024-07-01,0,0.05017209,High,train
L000872,2024-07-01,0,0.03761028,Monitor,train
L000873,2024-07-01,0,0.03530257,Monitor,train
L000874,2024-07-01,0,0.03250293,Low,train
L000875,2024-07-01,0,0.03740754,Monitor,train
L000876,2024-07-01,0,0.02786694,Low,train
L000877,2024-07-01,0,0.02466793,Low,train
L000878,2024-07-01,0,0.02871865,Low,train
L000879,2024-07-01,0,0.09978068,Critical,train
L000880,2024-07-01,0,0.02971097,Low,train
L000881,2024-07-01,0,0.02799123,Low,train
L000882,2024-07-01,0,0.02677809,Low,train
L000883,2024-07-01,0,0.05058639,High,train
L000884,2024-07-01,0,0.04091889,Monitor,train
L000885,2024-07-01,0,0.0481916,High,train
L000886,2024-07-01,0,0.03730411,Monitor,train
L000887,2024-07-01,0,0.01961807,Low,train
L000888,2024-07-01,0,0.02428249,Low,train
L000889,2024-07-01,0,0.05109098,High,train
L000890,2024-07-01,0,0.02397064,Low,train
L000891,2024-07-01,0,0.04459888,Monitor,train
L000892,2024-07-01,0,0.03922231,Monitor,train
L000893,2024-07-01,0,0.03039927,Low,train
L000894,2024-07-01,0,0.02525745,Low,train
L000895,2024-07-01,0,0.0486043,High,train
L000896,2024-07-01,0,0.02117709,Low,train
L000897,2024-07-01,0,0.03525611,Monitor,train
L000898,2024-07-01,0,0.07563999,High,train
L000899,2024-07-01,0,0.03626229,Monitor,train
L000900,2024-07-01,0,0.028186,Low,train
L000901,2024-07-01,0,0.03982671,Monitor,train
L000902,2024-07-01,0,0.03386122,Low,train
L000903,2024-07-01,0,0.04075217,Monitor,train
L000904,2024-07-01,0,0.03046017,Low,train
L000905,2024-07-01,0,0.03429443,Low,train
L000906,2024-07-01,0,0.02750513,Low,train
L000907,2024-07-01,0,0.02948815,Low,train
L000908,2024-07-01,0,0.02900065,Low,train
L000909,2024-07-01,1,0.02979661,Low,train
L000910,2024-07-01,0,0.04141036,Monitor,train
L000911,2024-07-01,0,0.08016825,High,train
L000912,2024-07-01,1,0.07433947,High,train
L000913,2024-07-01,0,0.0339331,Low,train
L000914,2024-07-01,0,0.03715123,Monitor,train
L000915,2024-07-01,0,0.04794452,High,train
L000916,2024-07-01,0,0.02989261,Low,train
L000917,2024-07-01,0,0.02136312,Low,train
L000918,2024-07-01,0,0.02304037,Low,train
L000919,2024-07-01,0,0.03389241,Low,train
L000920,2024-07-01,0,0.02827481,Low,train
L000921,2024-07-01,0,0.03000113,Low,train
L000922,2024-07-01,0,0.02187693,Low,train
L000923,2024-07-01,0,0.0328839,Low,train
L000924,2024-07-01,0,0.04149201,Monitor,train
L000925,2024-07-01,0,0.02942303,Low,train
L000926,2024-07-01,0,0.04977507,High,train
L000927,2024-07-01,0,0.03143285,Low,train
L000928,2024-07-01,0,0.02529212,Low,train
L000929,2024-07-01,0,0.0301316,Low,train
L000930,2024-07-01,0,0.02968326,Low,train
L000931,2024-07-01,0,0.05218658,High,train
L000932,2024-07-01,0,0.03804198,Monitor,train
L000933,2024-07-01,0,0.40639245,Critical,train
L000934,2024-07-01,0,0.39490659,Critical,train
L000935,2024-07-01,0,0.02648299,Low,train
L000936,2024-07-01,0,0.03260924,Low,train
L000937,2024-07-01,0,0.02818967,Low,train
L000938,2024-07-01,1,0.41429211,Critical,train
L000939,2024-07-01,0,0.04024145,Monitor,train
L000940,2024-07-01,0,0.06772226,High,train
L000941,2024-07-01,0,0.04266544,Monitor,train
L000942,2024-07-01,1,0.03245097,Low,train
L000943,2024-07-01,0,0.03634117,Monitor,train
L000944,2024-07-01,0,0.03333292,Low,train
L000945,2024-07-01,0,0.0298189,Low,train
L000946,2024-07-01,0,0.09489874,Critical,train
L000947,2024-07-01,0,0.07330902,High,train
L000948,2024-07-01,0,0.02908816,Low,train
L000949,2024-07-01,0,0.030563,Low,train
L000950,2024-07-01,0,0.02493032,Low,train
L000951,2024-07-01,0,0.04727452,High,train
L000952,2024-07-01,0,0.03391958,Low,train
L000953,2024-07-01,0,0.02635257,Low,train
L000954,2024-07-01,0,0.05410169,High,train
L000955,2024-07-01,0,0.07297198,High,train
L000956,2024-07-01,0,0.03321356,Low,train
L000957,2024-07-01,0,0.51024458,Critical,train
L000958,2024-07-01,0,0.02295435,Low,train
L000959,2024-07-01,0,0.24675323,Critical,train
L000960,2024-07-01,0,0.02961837,Low,train
L000961,2024-07-01,0,0.04402868,Monitor,train
L000962,2024-07-01,0,0.04471707,Monitor,train
L000963,2024-07-01,0,0.04188205,Monitor,train
L000964,2024-07-01,0,0.03222142,Low,train
L000965,2024-07-01,0,0.03767846,Monitor,train
L000966,2024-07-01,0,0.0221097,Low,train
L000967,2024-07-01,0,0.04511003,Monitor,train
L000968,2024-07-01,0,0.03019758,Low,train
L000969,2024-07-01,0,0.0269297,Low,train
L000970,2024-07-01,0,0.03105529,Low,train
L000971,2024-07-01,0,0.03162221,Low,train
L000972,2024-07-01,0,0.02899316,Low,train
L000973,2024-07-01,0,0.03601469,Monitor,train
L000974,2024-07-01,0,0.03358474,Low,train
L000975,2024-07-01,0,0.06650161,High,train
L000976,2024-07-01,0,0.03515236,Monitor,train
L000977,2024-07-01,0,0.02786211,Low,train
L000978,2024-07-01,0,0.02409352,Low,train
L000979,2024-07-01,0,0.03245293,Low,train
L000980,2024-07-01,0,0.04551378,Monitor,train
L000981,2024-07-01,0,0.03378163,Low,train
L000982,2024-07-01,0,0.04939221,High,train
L000983,2024-07-01,0,0.03276432,Low,train
L000984,2024-07-01,0,0.03077525,Low,train
L000985,2024-07-01,0,0.05059899,High,train
L000986,2024-07-01,0,0.04805689,High,train
L000987,2024-07-01,0,0.03026818,Low,train
L000988,2024-07-01,0,0.04578365,High,train
L000989,2024-07-01,0,0.03035158,Low,train
L000990,2024-07-01,0,0.02917715,Low,train
L000991,2024-07-01,0,0.0548148,High,train
L000992,2024-07-01,0,0.03164514,Low,train
L000993,2024-07-01,0,0.04107148,Monitor,train
L000994,2024-07-01,0,0.03408086,Low,train
L000995,2024-07-01,0,0.02984838,Low,train
L000996,2024-07-01,0,0.05164401,High,train
L000997,2024-07-01,1,0.08826715,High,train
L000998,2024-07-01,0,0.03830011,Monitor,train
L000999,2024-07-01,0,0.0397843,Monitor,train
L001000,2024-07-01,0,0.02783049,Low,train
L001001,2024-07-01,0,0.02919678,Low,train
L001002,2024-07-01,0,0.03251751,Low,train
L001003,2024-07-01,0,0.03110806,Low,train
L001004,2024-07-01,0,0.04156521,Monitor,train
L001005,2024-07-01,0,0.04793632,High,train
L001006,2024-07-01,1,0.03408731,Low,train
L001007,2024-07-01,0,0.03155965,Low,train
L001008,2024-07-01,0,0.0339133,Low,train
L001009,2024-07-01,0,0.03037356,Low,train
L001010,2024-07-01,1,0.58384685,Critical,train
L001011,2024-07-01,0,0.04129982,Monitor,train
L001012,2024-07-01,0,0.02651851,Low,train
L001013,2024-07-01,0,0.07917935,High,train
L001014,2024-07-01,1,0.02544414,Low,train
L001015,2024-07-01,0,0.03596771,Monitor,train
L001016,2024-07-01,0,0.03214658,Low,train
L001017,2024-07-01,1,0.05850919,High,train
L001018,2024-07-01,0,0.0316301,Low,train
L001019,2024-07-01,0,0.05020376,High,train
L001020,2024-07-01,0,0.05196811,High,train
L001021,2024-07-01,0,0.02923678,Low,train
L001022,2024-07-01,0,0.03849384,Monitor,train
L001023,2024-07-01,0,0.03205699,Low,train
L001024,2024-07-01,0,0.05896531,High,train
L001025,2024-07-01,0,0.03549061,Monitor,train
L001026,2024-07-01,0,0.03364601,Low,train
L001027,2024-07-01,0,0.13314049,Critical,train
L001028,2024-07-01,0,0.04043584,Monitor,train
L001029,2024-07-01,0,0.02699408,Low,train
L001030,2024-07-01,0,0.0266045,Low,train
L001031,2024-07-01,0,0.03680274,Monitor,train
L001032,2024-07-01,0,0.03902343,Monitor,train
L001033,2024-07-01,0,0.18851128,Critical,train
L001034,2024-07-01,0,0.03079502,Low,train
L001035,2024-07-01,0,0.04573035,High,train
L001036,2024-07-01,0,0.47223621,Critical,train
L001037,2024-07-01,0,0.0322433,Low,train
L001038,2024-07-01,0,0.02146728,Low,train
L001039,2024-07-01,0,0.19100015,Critical,train
L001040,2024-07-01,0,0.03160936,Low,train
L001041,2024-07-01,0,0.02882422,Low,train
L001042,2024-07-01,0,0.02424056,Low,train
L001043,2024-07-01,0,0.04426975,Monitor,train
L001044,2024-07-01,0,0.03355832,Low,train
L001045,2024-07-01,0,0.03468204,Monitor,train
L001046,2024-07-01,0,0.03336487,Low,train
L001047,2024-07-01,0,0.03400518,Low,train
L001048,2024-07-01,0,0.06968772,High,train
L001049,2024-07-01,0,0.040359,Monitor,train
L001050,2024-07-01,0,0.02568094,Low,train
L001051,2024-07-01,0,0.12095211,Critical,train
L001052,2024-07-01,0,0.02952248,Low,train
L001053,2024-07-01,0,0.03035141,Low,train
L001054,2024-07-01,0,0.04341356,Monitor,train
L001055,2024-07-01,0,0.03280378,Low,train
L001056,2024-07-01,0,0.03243124,Low,train
L001057,2024-07-01,0,0.04913647,High,train
L001058,2024-07-01,0,0.02782311,Low,train
L001059,2024-07-01,0,0.02646689,Low,train
L001060,2024-07-01,0,0.03687484,Monitor,train
L001061,2024-07-01,0,0.02961388,Low,train
L001062,2024-07-01,0,0.14537931,Critical,train
L001063,2024-07-01,0,0.04839993,High,train
L001064,2024-07-01,0,0.03621514,Monitor,train
L001065,2024-07-01,0,0.02803889,Low,train
L001066,2024-07-01,0,0.0266424,Low,train
L001067,2024-07-01,0,0.03318858,Low,train
L001068,2024-07-01,0,0.03271729,Low,train
L001069,2024-07-01,0,0.02204704,Low,train
L001070,2024-07-01,0,0.08408744,High,train
L001071,2024-07-01,1,0.29720254,Critical,train
L001072,2024-07-01,0,0.02916967,Low,train
L001073,2024-07-01,0,0.03916676,Monitor,train
L001074,2024-07-01,0,0.03855968,Monitor,train
L001075,2024-07-01,0,0.03133113,Low,train
L001076,2024-07-01,0,0.02999965,Low,train
L001077,2024-07-01,0,0.02863922,Low,train
L001078,2024-07-01,0,0.03473515,Monitor,train
L001079,2024-07-01,0,0.0242894,Low,train
L001080,2024-07-01,0,0.02307552,Low,train
L001081,2024-07-01,0,0.0266238,Low,train
L001082,2024-07-01,0,0.03247683,Low,train
L001083,2024-07-01,0,0.03008097,Low,train
L001084,2024-07-01,0,0.03968703,Monitor,train
L001085,2024-07-01,0,0.08076239,High,train
L001086,2024-07-01,0,0.02864987,Low,train
L001087,2024-07-01,0,0.03150729,Low,train
L001088,2024-07-01,0,0.04471528,Monitor,train
L001089,2024-07-01,0,0.03655657,Monitor,train
L001090,2024-07-01,0,0.0343652,Low,train
L001091,2024-07-01,0,0.02700874,Low,train
L001092,2024-07-01,0,0.04152719,Monitor,train
L001093,2024-07-01,0,0.15552493,Critical,train
L001094,2024-07-01,0,0.03329709,Low,train
L001095,2024-07-01,0,0.07088528,High,train
L001096,2024-07-01,0,0.03273262,Low,train
L001097,2024-07-01,0,0.05720668,High,train
L001098,2024-07-01,0,0.03146095,Low,train
L001099,2024-07-01,0,0.03031743,Low,train
L001100,2024-07-01,0,0.0256779,Low,train
L001101,2024-07-01,0,0.03435053,Low,train
L001102,2024-07-01,0,0.76308184,Critical,train
L001103,2024-07-01,0,0.03262465,Low,train
L001104,2024-07-01,0,0.03764359,Monitor,train
L001105,2024-07-01,0,0.02889617,Low,train
L001106,2024-07-01,0,0.23345952,Critical,train
L001107,2024-07-01,0,0.02960044,Low,train
L001108,2024-07-01,0,0.0348284,Monitor,train
L001109,2024-07-01,0,0.03163266,Low,train
L001110,2024-07-01,0,0.34727744,Critical,train
L001111,2024-07-01,0,0.0285587,Low,train
L001112,2024-07-01,0,0.02479944,Low,train
L001113,2024-07-01,0,0.04875695,High,train
L001114,2024-07-01,0,0.26451009,Critical,train
L001115,2024-07-01,0,0.03356597,Low,train
L001116,2024-07-01,0,0.02592236,Low,train
L001117,2024-07-01,0,0.0938817,Critical,train
L001118,2024-07-01,0,0.05436178,High,train
L001119,2024-07-01,0,0.0299801,Low,train
L001120,2024-07-01,0,0.0282115,Low,train
L001121,2024-07-01,0,0.03512672,Monitor,train
L001122,2024-07-01,0,0.02067767,Low,train
